Age,Income,Loan_Amount,Credit_Score,Employment_Years,Education_Level,Housing_Status,Default
59,102870,28616,779,9,High School,Mortgage,0
47,52154,32723,364,16,Masters,Own,0
29,84435,42574,307,8,PhD,Own,0
35,49486,39958,600,28,Bachelors,Mortgage,0
35,52154,14108,642,5,Bachelors,Own,0
46,102870,17178,730,10,Masters,Mortgage,0
62,91324,40643,723,24,Masters,Mortgage,0
33,63872,36324,631,6,Masters,Rent,0
52,45053,43360,737,16,Masters,Rent,0
59,79379,22824,473,27,Masters,Mortgage,0
52,,13927,826,27,High School,Mortgage,0
24,100910,33144,325,0,High School,Mortgage,0
50,149038,36010,705,21,PhD,Mortgage,0
57,148876,27443,531,4,Bachelors,Mortgage,0
43,60631,19437,832,8,High School,Mortgage,0
59,24018,49298,849,17,High School,Own,1
35,84484,44778,804,23,High School,Mortgage,0
63,84435,16207,478,26,PhD,Own,0
49,60631,30537,431,20,Masters,Own,0
56,102870,40757,754,1,PhD,Mortgage,0
33,132250,17040,647,28,Bachelors,Mortgage,1
52,149038,46986,839,25,Bachelors,Own,0
27,87506,27612,705,10,Bachelors,Own,0
42,,33441,375,26,Bachelors,Mortgage,0
48,116646,11471,791,27,High School,Mortgage,0
22,52154,40631,493,5,High School,Own,0
62,136553,48461,461,25,PhD,Own,0
26,31302,31523,646,7,Masters,Own,0
48,123677,36348,660,3,Bachelors,Rent,0
48,44519,6177,386,17,PhD,Own,0
64,44519,9760,561,27,High School,Rent,1
64,45053,37779,513,10,High School,Mortgage,0
40,91907,26636,561,4,Masters,Mortgage,0
50,39029,21353,582,14,Masters,Own,0
31,87779,16556,766,27,Masters,Mortgage,0
48,71356,32598,679,17,PhD,Mortgage,0
45,84484,16563,661,1,High School,Mortgage,0
59,123677,48790,748,21,High School,Mortgage,0
53,60631,13234,740,10,Masters,Rent,1
21,112738,30519,392,25,Bachelors,Rent,0
47,52154,31966,723,24,Masters,Own,0
33,116646,21173,441,12,PhD,Own,0
61,,31987,590,3,Masters,Own,0
23,31302,18178,731,21,Masters,Mortgage,0
59,30789,44338,348,6,PhD,Mortgage,0
26,71356,29596,601,28,Masters,Rent,0
28,116646,38174,489,10,High School,Rent,1
47,148876,46974,435,21,Bachelors,Own,0
29,122916,9431,703,23,Masters,Rent,0
57,31302,32764,640,3,PhD,Rent,0
53,149038,26627,617,27,Bachelors,Rent,0
62,87779,44310,662,14,PhD,Rent,0
64,84484,13906,681,0,Bachelors,Rent,0
44,148876,41914,532,22,Bachelors,Own,0
35,116646,49814,643,2,Masters,Own,0
52,39029,18076,848,13,High School,Rent,0
52,79201,42650,828,5,Masters,Own,0
44,123677,11012,482,17,PhD,Mortgage,0
61,30789,12151,340,24,PhD,Rent,0
32,100910,33211,696,0,Bachelors,Mortgage,0
59,123677,32117,793,5,Bachelors,Own,0
22,91907,41378,632,5,High School,Own,0
23,75180,47652,426,20,Masters,Mortgage,0
57,91324,11894,300,15,PhD,Own,0
37,87506,18467,467,28,Bachelors,Rent,0
22,122916,36010,318,4,High School,Mortgage,0
22,20922,47641,631,16,PhD,Rent,0
48,100910,17289,755,9,Bachelors,Mortgage,0
43,22336,49976,408,27,PhD,Own,0
57,91895,48596,567,20,High School,Mortgage,0
52,79379,28171,744,17,High School,Mortgage,0
53,112738,39905,539,6,PhD,Rent,0
21,44519,25829,600,2,Masters,Own,0
39,112738,39054,402,12,PhD,Rent,0
22,87779,49139,549,14,Bachelors,Own,1
64,71356,34734,752,19,Masters,Rent,0
46,20922,12052,819,18,Bachelors,Mortgage,0
52,45053,8654,452,2,PhD,Rent,0
26,91895,28486,473,3,Masters,Own,0
52,45053,23743,642,4,Bachelors,Own,0
24,52265,29489,730,0,PhD,Mortgage,0
31,52154,13636,623,3,PhD,Own,0
37,79379,11441,719,11,Masters,Rent,0
58,24018,29611,784,27,PhD,Mortgage,0
44,,47435,711,26,High School,Own,0
25,148876,17149,383,23,Bachelors,Own,0
54,61157,39566,412,9,Bachelors,Rent,0
26,29446,47368,631,22,PhD,Rent,0
42,116809,26675,677,24,PhD,Mortgage,1
31,145733,10495,340,20,High School,Own,1
36,24018,47668,404,28,Masters,Rent,0
53,31302,18673,501,25,PhD,Mortgage,0
29,71356,16130,749,19,PhD,Own,1
26,107487,27668,565,23,PhD,Own,0
36,29446,20222,509,24,PhD,Mortgage,0
49,61157,28669,417,12,Bachelors,Mortgage,1
23,122916,39068,676,22,PhD,Rent,0
40,132250,28253,839,13,Bachelors,Own,0
56,102870,14435,383,22,PhD,Own,0
39,103122,33552,753,4,Masters,Own,0
46,39029,42384,813,3,High School,Mortgage,0
23,43710,21393,686,13,Masters,Rent,0
39,79201,15617,649,9,PhD,Own,0
40,118723,43520,595,16,PhD,Mortgage,0
52,43710,14852,557,9,PhD,Own,0
27,30789,36401,380,25,Masters,Rent,0
61,25408,11295,567,6,PhD,Own,0
53,44519,40993,718,15,Masters,Rent,1
60,102870,39084,534,0,Bachelors,Rent,0
59,91907,44575,610,16,High School,Own,0
38,71356,41451,656,20,High School,Own,0
60,123677,12227,512,28,Masters,Rent,0
21,25408,36910,348,8,Bachelors,Mortgage,0
31,60631,41041,426,5,Masters,Rent,0
48,149038,28384,522,18,Bachelors,Own,0
45,25408,5145,578,12,PhD,Own,0
43,100910,42778,707,2,Bachelors,Mortgage,0
51,103122,21035,804,6,Bachelors,Rent,0
50,63872,8040,593,21,Bachelors,Rent,0
62,24018,47422,576,8,High School,Rent,0
55,49486,31160,737,21,Bachelors,Own,0
27,117720,22633,406,4,PhD,Rent,0
36,136553,34344,719,9,PhD,Mortgage,1
46,103122,22014,728,22,PhD,Own,0
22,118723,19996,674,16,Bachelors,Own,0
21,75180,46621,372,11,Masters,Rent,0
32,91907,16695,329,22,Masters,Mortgage,0
25,87506,7852,487,15,PhD,Own,0
57,86656,21014,663,2,High School,Own,0
52,52154,32042,750,29,Masters,Rent,0
29,49486,38755,494,24,Bachelors,Rent,0
61,39029,45390,455,21,Masters,Mortgage,0
55,71356,28711,471,8,PhD,Rent,0
39,122916,31122,340,28,High School,Mortgage,0
36,116809,14160,362,14,Masters,Own,0
23,74917,32213,322,4,Masters,Mortgage,0
40,79379,44420,659,22,PhD,Mortgage,0
44,20922,12421,374,12,High School,Mortgage,0
53,145733,26400,417,13,High School,Own,0
44,52265,38537,679,19,PhD,Rent,1
31,66197,22727,589,14,Bachelors,Own,0
28,132250,9358,739,15,Masters,Rent,0
56,39029,33482,306,22,Bachelors,Mortgage,0
58,25408,37117,495,12,Masters,Mortgage,0
60,122916,28164,720,16,Masters,Mortgage,0
40,117720,36910,492,22,Bachelors,Mortgage,0
55,132250,37496,447,7,PhD,Mortgage,0
45,107487,49311,501,20,PhD,Rent,0
55,71356,34371,743,1,Masters,Rent,0
45,145733,43467,718,4,PhD,Mortgage,0
49,118723,22625,726,5,Masters,Own,0
38,20922,38893,778,11,PhD,Own,0
38,64028,15793,774,17,Masters,Mortgage,0
22,22336,36007,425,29,PhD,Rent,0
55,74917,30766,694,21,High School,Own,0
36,64028,44532,624,21,Bachelors,Own,0
61,63872,17323,691,0,High School,Own,0
56,39029,12843,739,29,Bachelors,Mortgage,0
53,107487,19210,503,16,Bachelors,Own,1
24,49486,21456,785,29,Masters,Own,0
53,112738,36367,330,10,Bachelors,Own,0
34,44519,15106,687,9,High School,Own,0
41,49486,42957,733,18,High School,Rent,0
40,25408,7472,675,13,PhD,Mortgage,1
28,86656,11704,643,25,High School,Mortgage,0
27,20922,8713,742,9,PhD,Rent,0
23,84484,10051,374,14,Bachelors,Rent,0
37,91907,15756,454,27,High School,Mortgage,0
53,24018,7475,729,18,Bachelors,Own,1
32,75180,41378,662,3,High School,Own,0
42,,9255,747,1,High School,Mortgage,1
42,149038,19484,533,8,PhD,Own,0
50,52265,39503,561,9,Bachelors,Rent,0
58,149038,13258,424,27,High School,Own,0
58,86656,45747,544,10,Masters,Own,0
28,52154,40196,841,13,Bachelors,Own,0
47,20922,45194,784,6,Bachelors,Mortgage,0
47,116809,13533,421,22,Bachelors,Rent,0
54,63872,37581,424,14,PhD,Own,0
41,116809,10249,848,21,Masters,Mortgage,0
50,52265,24201,469,18,Bachelors,Own,0
53,84435,14686,423,21,High School,Rent,0
48,136553,37007,334,14,High School,Own,0
53,63872,5661,386,29,PhD,Rent,0
25,79201,49843,500,27,High School,Own,0
39,39029,35137,668,23,Bachelors,Rent,0
24,148876,47828,376,7,High School,Own,0
55,30789,15526,358,10,Bachelors,Rent,0
37,118723,8374,730,28,High School,Own,0
64,61157,30592,799,8,Masters,Own,0
48,87779,33982,408,14,PhD,Mortgage,1
50,52265,5207,577,0,PhD,Mortgage,0
49,148876,40433,367,29,Masters,Rent,0
26,29446,28197,368,0,Masters,Own,0
55,45053,38400,464,18,PhD,Rent,0
61,79201,8083,788,2,Masters,Mortgage,0
57,75180,34328,604,9,Bachelors,Rent,0
44,25408,47891,664,7,High School,Rent,0
49,49486,25103,678,14,PhD,Mortgage,1
51,75180,44891,642,9,Masters,Own,0
55,39029,15754,653,0,Bachelors,Rent,0
53,103122,39447,715,28,PhD,Mortgage,0
41,86656,20901,408,17,Masters,Own,0
52,24018,38004,796,1,PhD,Mortgage,1
43,103122,12446,640,18,Masters,Rent,0
53,103122,42211,682,12,PhD,Own,0
23,63872,34301,832,21,Bachelors,Own,0
38,25408,31116,599,0,Bachelors,Mortgage,0
45,,46323,438,1,High School,Mortgage,1
62,117720,23752,658,28,PhD,Mortgage,0
51,75180,37376,798,15,High School,Own,0
23,63872,21669,684,14,PhD,Own,1
60,145733,37916,579,12,Masters,Rent,1
44,117720,18395,782,15,Masters,Own,0
52,136553,25421,410,16,High School,Rent,0
42,79201,31342,438,20,PhD,Mortgage,0
43,31302,9895,734,28,High School,Mortgage,0
22,60631,16023,808,28,Bachelors,Own,0
47,122916,15699,572,6,High School,Mortgage,0
62,43710,14715,398,23,High School,Mortgage,0
22,43710,24169,403,25,Masters,Own,0
46,149038,21163,513,16,High School,Rent,0
37,102870,10782,464,6,PhD,Own,0
60,132250,27641,819,12,Masters,Rent,0
53,39029,23792,583,4,High School,Own,0
29,107487,40585,816,25,Bachelors,Own,0
63,45053,35682,463,16,High School,Mortgage,0
59,122916,23880,363,2,High School,Own,0
49,43710,43067,390,6,High School,Own,0
62,84435,47685,416,25,Masters,Rent,0
46,25408,23073,566,16,PhD,Mortgage,0
55,44519,41035,439,6,Bachelors,Rent,0
45,84435,42174,545,20,High School,Rent,0
44,148876,29837,694,0,PhD,Mortgage,0
33,107487,22826,786,16,PhD,Mortgage,0
27,91324,29981,775,29,Masters,Mortgage,1
56,30789,15382,816,16,Bachelors,Own,0
40,45053,9437,483,10,Masters,Mortgage,0
21,116646,10435,319,24,PhD,Mortgage,1
28,22336,29819,823,26,PhD,Mortgage,0
36,20922,41875,828,28,PhD,Rent,0
34,25408,36982,446,2,Masters,Rent,0
32,71356,38328,603,14,Bachelors,Own,1
43,122916,17329,527,28,High School,Rent,0
35,91324,30169,401,20,Masters,Own,0
48,74917,26932,716,10,PhD,Rent,0
54,116646,39594,515,25,Masters,Mortgage,0
22,117720,16421,706,27,PhD,Rent,0
52,79379,12629,698,15,High School,Own,0
43,117720,13325,798,24,High School,Rent,0
42,107487,33495,764,21,Bachelors,Mortgage,0
45,140430,36750,381,27,PhD,Own,0
42,86656,34619,664,8,Bachelors,Mortgage,0
42,66197,45461,462,23,Bachelors,Mortgage,0
62,49486,13264,347,23,High School,Own,0
26,86656,17686,810,0,Masters,Mortgage,0
35,148876,29226,628,28,Masters,Mortgage,0
63,123677,11721,415,24,Bachelors,Rent,0
57,44519,25609,636,21,High School,Mortgage,0
53,91324,12373,446,15,PhD,Mortgage,0
28,112738,43675,622,8,Masters,Mortgage,0
64,25408,33937,742,18,Bachelors,Mortgage,0
64,71356,10656,312,11,Masters,Own,0
25,86656,13984,793,18,Masters,Rent,1
59,20922,34984,586,21,PhD,Mortgage,1
24,118723,13286,413,8,High School,Mortgage,0
26,112738,10901,779,6,PhD,Own,0
52,100910,36552,321,13,High School,Mortgage,0
50,140430,30709,648,28,Masters,Own,0
55,112738,36055,619,18,Bachelors,Rent,0
60,103122,42685,425,18,PhD,Rent,1
36,149038,13429,576,1,High School,Mortgage,0
33,91895,19716,503,8,Masters,Mortgage,1
62,116646,16138,493,12,High School,Mortgage,0
50,60631,40298,846,14,High School,Own,0
39,71356,28429,585,2,High School,Mortgage,0
37,52154,10772,356,10,Masters,Mortgage,0
39,79379,40732,602,20,Bachelors,Rent,0
48,22336,44905,462,13,Bachelors,Mortgage,0
46,102870,22347,318,29,Bachelors,Rent,0
57,136553,21920,669,24,High School,Mortgage,0
46,79201,36822,563,7,Masters,Rent,0
43,79379,45108,412,17,High School,Mortgage,0
29,145733,28563,787,18,Bachelors,Rent,0
32,136553,12967,626,15,Bachelors,Own,0
21,25408,16871,841,1,Masters,Rent,1
21,100910,33763,364,7,High School,Rent,0
54,22336,16916,591,21,PhD,Rent,0
52,30789,13734,324,5,PhD,Mortgage,0
45,79201,38613,848,11,Bachelors,Mortgage,0
60,43710,33179,300,14,Masters,Mortgage,0
21,49486,40262,848,24,High School,Own,0
36,39029,17677,440,7,High School,Own,0
59,31302,23268,487,3,Bachelors,Rent,0
25,122916,17330,427,14,Bachelors,Own,0
42,75180,25733,500,27,High School,Rent,1
49,63872,42947,426,19,High School,Rent,1
23,86656,32286,556,24,Bachelors,Rent,0
32,71356,11610,846,16,High School,Own,0
46,43710,11430,493,12,PhD,Mortgage,0
36,136553,44922,403,17,Bachelors,Own,0
57,140430,18828,834,1,High School,Rent,0
42,84435,47913,564,12,Bachelors,Rent,0
49,87506,36497,683,12,Masters,Own,1
34,52154,44256,559,21,Bachelors,Rent,1
48,118723,41618,713,14,Bachelors,Rent,0
25,117720,31526,657,19,Masters,Own,0
50,76819,35158,374,28,PhD,Own,0
25,79379,30032,654,26,High School,Own,0
32,87779,42846,487,9,Masters,Rent,0
36,91324,49936,589,28,Bachelors,Rent,0
46,49486,34794,344,2,High School,Mortgage,1
46,145733,10448,382,18,Masters,Mortgage,0
41,43710,33861,422,2,High School,Own,0
59,24018,33141,657,21,High School,Mortgage,0
56,79201,14074,827,13,Masters,Rent,0
53,145733,11406,365,7,High School,Mortgage,0
50,39029,36823,674,26,PhD,Rent,0
57,102870,28291,461,22,Masters,Own,0
43,76819,46568,679,29,PhD,Own,0
30,76819,37003,657,3,Bachelors,Rent,0
25,79379,39406,487,26,High School,Mortgage,1
56,123677,28312,621,27,Bachelors,Own,0
54,123677,48108,749,19,Bachelors,Own,0
51,79201,6382,773,10,High School,Mortgage,0
30,136553,39171,312,25,Masters,Mortgage,0
39,91907,46779,483,10,High School,Rent,0
52,52154,8292,410,26,Bachelors,Mortgage,1
21,84435,46779,807,29,Bachelors,Mortgage,1
25,52154,38187,589,10,Masters,Mortgage,0
24,43710,17411,594,1,High School,Rent,0
36,91324,42285,750,29,Bachelors,Rent,0
44,43710,20422,514,16,PhD,Own,0
36,148876,47468,326,8,Bachelors,Rent,0
22,44519,37371,530,27,Bachelors,Own,0
48,102870,10693,620,27,Masters,Mortgage,0
52,117720,38535,532,1,PhD,Own,0
47,136553,19818,736,28,Bachelors,Own,0
40,29446,36238,832,23,Bachelors,Mortgage,1
44,61157,35874,702,14,PhD,Own,0
32,,31715,352,15,High School,Rent,0
55,102870,32605,612,24,High School,Rent,0
53,84435,39317,580,3,Bachelors,Rent,0
53,31302,36174,330,7,Bachelors,Rent,0
63,49486,14956,636,8,High School,Own,0
57,100910,43908,482,25,Masters,Own,1
32,102870,15837,322,25,PhD,Mortgage,0
23,60631,8716,843,4,PhD,Own,0
21,87506,9481,745,15,Masters,Own,0
53,79379,29282,373,12,Masters,Own,0
60,122916,11548,309,29,Masters,Mortgage,0
30,117720,42605,783,6,Masters,Rent,1
63,91895,12758,755,25,Masters,Own,0
64,,48668,459,19,Masters,Mortgage,0
49,91907,28177,313,16,PhD,Mortgage,0
33,140430,29022,477,2,Masters,Mortgage,0
32,103122,45761,711,4,High School,Rent,1
51,140430,10542,352,18,Masters,Own,1
22,84435,30476,707,11,Masters,Mortgage,0
55,30789,35784,321,28,PhD,Rent,0
43,87506,27740,329,26,PhD,Mortgage,0
37,107487,29817,559,6,Masters,Mortgage,0
46,122916,21052,504,27,PhD,Mortgage,1
28,122916,40153,358,8,Bachelors,Mortgage,0
49,75180,5671,770,27,PhD,Mortgage,0
46,74917,5163,765,5,PhD,Rent,0
30,136553,46424,311,28,PhD,Own,0
46,91907,49002,589,25,PhD,Own,0
54,30789,9795,653,16,High School,Own,0
61,116809,15634,374,15,High School,Own,0
27,76819,9798,740,22,High School,Rent,0
24,39029,27420,540,2,Masters,Rent,0
31,117720,34300,453,20,Masters,Rent,0
49,112738,29345,395,25,Bachelors,Mortgage,0
56,87506,15749,593,3,High School,Mortgage,0
45,116646,43595,508,9,Masters,Mortgage,0
41,29446,30121,642,4,PhD,Own,1
56,52154,42487,387,20,PhD,Mortgage,0
30,149038,33411,689,21,High School,Own,0
57,49486,38361,624,29,Bachelors,Mortgage,0
29,91907,26223,456,9,Bachelors,Own,0
44,44519,12394,436,11,PhD,Mortgage,0
55,75180,19056,727,9,Bachelors,Mortgage,0
55,39029,33380,751,28,High School,Rent,0
56,86656,31035,440,12,PhD,Mortgage,0
38,66197,35620,382,10,Masters,Mortgage,0
59,84435,24877,476,21,Masters,Rent,0
52,31302,48404,497,15,Bachelors,Own,0
44,74917,35911,720,7,PhD,Rent,0
43,61157,37784,700,7,PhD,Rent,0
52,61157,8191,770,26,Masters,Own,0
57,148876,38160,517,24,PhD,Mortgage,0
32,71356,30000,474,7,PhD,Own,1
33,84435,44040,322,12,PhD,Mortgage,0
43,103122,8631,534,26,Bachelors,Mortgage,0
45,79201,11172,312,1,PhD,Own,0
55,29446,47080,400,29,High School,Rent,0
61,84435,28561,835,29,Bachelors,Own,0
50,145733,29817,822,11,PhD,Mortgage,0
37,79201,25281,751,9,PhD,Own,0
40,60631,33671,730,11,High School,Own,1
45,79379,30364,832,10,Bachelors,Mortgage,0
42,25408,46674,592,14,Masters,Rent,0
33,30789,32425,400,15,Masters,Own,0
39,31302,33602,801,16,Bachelors,Mortgage,0
56,123677,28253,603,25,PhD,Mortgage,0
32,79201,28472,839,1,PhD,Own,0
61,132250,13080,654,17,Masters,Rent,0
39,76819,12099,602,11,Masters,Own,1
32,148876,30431,795,18,Masters,Rent,0
29,117720,36186,526,25,High School,Rent,0
27,103122,35111,535,22,Masters,Rent,1
48,87506,44851,754,17,High School,Rent,0
34,100910,27614,312,29,Bachelors,Own,0
51,122916,31724,509,16,PhD,Mortgage,1
39,39029,46991,696,29,Masters,Mortgage,0
36,116809,9940,399,5,PhD,Mortgage,1
25,66197,33758,330,24,PhD,Mortgage,0
55,31302,41224,827,14,Masters,Mortgage,0
32,84484,12788,628,2,Masters,Mortgage,1
45,52154,33082,465,5,Bachelors,Own,0
41,103122,29034,758,2,High School,Rent,0
56,31302,40479,399,29,High School,Mortgage,0
43,117720,16280,472,28,PhD,Own,1
36,39029,23052,461,0,Masters,Mortgage,0
59,107487,21531,562,29,Bachelors,Mortgage,0
62,145733,27804,573,12,Bachelors,Rent,0
59,103122,33903,302,27,Bachelors,Rent,0
34,140430,49857,327,20,Bachelors,Rent,0
51,63872,15142,625,25,Bachelors,Mortgage,0
25,117720,14866,448,13,High School,Mortgage,0
55,61157,9531,839,12,High School,Mortgage,0
43,116809,43098,787,26,High School,Rent,0
49,39029,43278,737,3,Masters,Own,0
63,30789,33138,364,6,PhD,Mortgage,0
31,140430,32065,655,21,Bachelors,Mortgage,1
38,132250,34956,832,9,Masters,Mortgage,0
32,116646,46732,551,6,Bachelors,Own,0
29,61157,44261,534,20,High School,Mortgage,0
30,91895,15759,526,14,Masters,Own,0
64,86656,10439,824,14,High School,Mortgage,0
37,79379,47533,612,3,Bachelors,Own,0
58,74917,33270,348,22,Bachelors,Mortgage,0
27,122916,18279,417,22,PhD,Rent,1
33,91895,44279,353,5,Bachelors,Rent,0
60,76819,49251,343,23,High School,Rent,0
62,84484,28888,352,19,Bachelors,Rent,0
29,61157,22630,824,25,PhD,Mortgage,1
47,76819,40144,401,4,PhD,Rent,0
22,25408,36182,697,19,High School,Own,0
25,60631,30538,437,11,Masters,Rent,0
49,63872,16824,686,0,Bachelors,Rent,0
57,49486,37125,410,27,PhD,Rent,0
58,123677,11979,316,7,Bachelors,Mortgage,0
39,52154,31189,481,0,Bachelors,Rent,1
28,149038,47600,835,4,Masters,Own,1
21,31302,17504,840,21,PhD,Rent,0
42,63872,25669,470,5,Bachelors,Rent,1
37,39029,11910,708,28,PhD,Rent,0
27,63872,39964,677,20,High School,Own,0
45,64028,25131,487,2,High School,Rent,0
24,76819,30227,529,14,Bachelors,Own,0
56,49486,10978,418,4,PhD,Own,0
26,87779,26991,455,27,Bachelors,Rent,0
51,74917,22153,764,23,PhD,Own,0
39,30789,38548,403,13,PhD,Mortgage,0
64,45053,47676,801,17,Masters,Rent,0
59,91324,44071,474,15,Masters,Rent,0
47,63872,8983,720,5,Masters,Own,0
30,84484,14503,433,24,Bachelors,Own,0
46,87779,34921,690,23,Masters,Rent,1
39,91895,21905,800,13,Masters,Mortgage,0
59,66197,28953,332,26,High School,Own,0
23,76819,31806,354,23,PhD,Own,1
33,75180,27168,818,7,PhD,Mortgage,0
48,49486,9583,311,28,Masters,Mortgage,0
40,117720,43714,827,6,PhD,Rent,0
48,145733,44896,672,7,High School,Mortgage,0
28,52265,16889,783,12,High School,Rent,0
61,64028,32413,527,5,Masters,Mortgage,0
59,132250,17275,606,17,High School,Own,0
21,112738,7461,756,1,PhD,Rent,0
23,61157,19291,459,7,Bachelors,Rent,0
33,75180,16435,630,10,PhD,Rent,0
48,49486,32935,524,0,Bachelors,Mortgage,0
